"country","year","visitors_arrival_in_person"
Brunei Darussalam,2015,218213
Brunei Darussalam,2016,218809
Brunei Darussalam,2017,258955
Brunei Darussalam,2018,278136
Brunei Darussalam,2019,333244
Brunei Darussalam,2020,62325
Brunei Darussalam,2021,3543
Brunei Darussalam,2022,35701
Cambodia,2015,4775231
Cambodia,2016,5011712
Cambodia,2017,5602157
Cambodia,2018,6201077
Cambodia,2019,6610592
Cambodia,2020,1306143
Cambodia,2021,196495
Cambodia,2022,2276626
Indonesia,2015,10406759
Indonesia,2016,11519275
Indonesia,2017,14039799
Indonesia,2018,15810305
Indonesia,2019,16106954
Indonesia,2020,4052923
Indonesia,2021,1557530
Indonesia,2022,5471277
Laos,2015,4684429
Laos,2016,4239047
Laos,2017,3868838
Laos,2018,4186432
Laos,2019,4791065
Laos,2020,886447
Laos,2021,0
Laos,2022,1291627
Malaysia,2015,25721251
Malaysia,2016,26757392
Malaysia,2017,25948459
Malaysia,2018,25832354
Malaysia,2019,26100784
Malaysia,2020,4332722
Malaysia,2021,134728
Malaysia,2022,10070964
Myanmar,2015,4681020
Myanmar,2016,2907207
Myanmar,2017,3443133
Myanmar,2018,3549428
Myanmar,2019,4364101
Myanmar,2020,903343
Myanmar,2021,130947
Myanmar,2022,233487
Philippines,2015,5360682
Philippines,2016,5967005
Philippines,2017,6620908
Philippines,2018,7127678
Philippines,2019,8260913
Philippines,2020,1482535
Philippines,2021,163879
Philippines,2022,2653858
Singapore,2015,15231469
Singapore,2016,16403595
Singapore,2017,17424611
Singapore,2018,18508302
Singapore,2019,19113842
Singapore,2020,2742443
Singapore,2021,330059
Singapore,2022,6305744
Thailand,2015,29881091
Thailand,2016,32529588
Thailand,2017,35591978
Thailand,2018,38178194
Thailand,2019,39916251
Thailand,2020,6702396
Thailand,2021,427869
Thailand,2022,11153026
Vietnam,2015,7943651
Vietnam,2016,10012735
Vietnam,2017,12922151
Vietnam,2018,15497791
Vietnam,2019,18008591
Vietnam,2020,3686779
Vietnam,2021,3500
Vietnam,2022,3661222
