Row Labels,Count of nama_dtw
ACEH,237
BALI,266
BANTEN,40
BENGKULU,101
DI YOGYAKARTA,151
DKI JAKARTA,102
GORONTALO,93
JAMBI,267
JAWA BARAT,392
JAWA TENGAH,968
JAWA TIMUR,845
KALIMANTAN BARAT,691
KALIMANTAN SELATAN,323
KALIMANTAN TENGAH,105
KALIMANTAN TIMUR,29
KALIMANTAN UTARA,39
KEPULAUAN BANGKA BELITUNG,38
KEPULAUAN RIAU,112
LAMPUNG,366
MALUKU,152
MALUKU UTARA,50
NUSA TENGGARA BARAT,179
NUSA TENGGARA TIMUR,2
PAPUA,38
PAPUA BARAT,18
RIAU,308
SULAWESI BARAT,37
SULAWESI SELATAN,448
SULAWESI TENGAH,89
SULAWESI TENGGARA,367
SULAWESI UTARA,396
SUMATERA BARAT,272
SUMATERA SELATAN,300
SUMATERA UTARA,673
Grand Total,8494
