provinsi,jumlah_dtw,jumlah_dpsp,jumlah_dpn,jumlah_kppn,jumlah_kspn
ACEH,237,0,1,3,2
BALI,266,0,1,11,12
BANTEN,40,0,1,3,1
BENGKULU,101,0,1,3,1
DI YOGYAKARTA,151,0,0,4,6
DKI JAKARTA,102,0,1,4,2
GORONTALO,93,0,1,3,1
JAMBI,267,0,1,4,2
JAWA BARAT,392,0,3,10,6
JAWA TENGAH,968,1,3,15,2
JAWA TIMUR,845,0,2,11,4
KALIMANTAN BARAT,691,0,2,8,2
KALIMANTAN SELATAN,323,0,1,4,0
KALIMANTAN TENGAH,105,0,1,2,1
KALIMANTAN TIMUR,29,0,3,9,2
KALIMANTAN UTARA,39,0,0,2,1
KEPULAUAN BANGKA BELITUNG,38,0,0,4,1
KEPULAUAN RIAU,112,0,2,8,3
LAMPUNG,366,0,0,6,3
MALUKU,152,0,1,6,1
MALUKU UTARA,50,0,1,5,1
NUSA TENGGARA BARAT,179,1,2,9,5
NUSA TENGGARA TIMUR,2,1,5,13,4
PAPUA,38,0,4,16,6
PAPUA BARAT,18,0,2,7,1
RIAU,308,0,1,5,0
SULAWESI BARAT,37,0,0,1,0
SULAWESI SELATAN,448,0,2,10,3
SULAWESI TENGAH,89,0,0,5,1
SULAWESI TENGGARA,367,0,1,3,1
SULAWESI UTARA,396,1,1,6,3
SUMATERA BARAT,272,0,2,9,4
SUMATERA SELATAN,300,0,1,3,2
SUMATERA UTARA,673,1,2,8,4
