provinsi,jumlah_hotel,jumlah_kamar,tahun
ACEH,451,31083,2019
SUMATERA UTARA,1191,12171,2019
SUMATERA BARAT,708,17169,2019
RIAU,503,6710,2019
JAMBI,225,14672,2019
SUMATERA SELATAN,447,3809,2019
BENGKULU,186,8866,2019
LAMPUNG,310,7212,2019
KEP BANGKA BELITUNG,176,24962,2019
KEPULAUAN RIAU,453,74405,2019
DKI JAKARTA,991,95226,2019
JAWA BARAT,3191,58010,2019
JAWA TENGAH,2036,35717,2019
DI YOGYAKARTA,1817,82219,2019
JAWA TIMUR,4132,18579,2019
BANTEN,490,123399,2019
BALI,4419,15837,2019
NUSA TENGGARA BARAT,1055,9807,2019
NUSA TENGGARA TIMUR,529,13309,2019
KALIMANTAN BARAT,493,9519,2019
KALIMANTAN TENGAH,490,10642,2019
KALIMANTAN SELATAN,406,17437,2019
KALIMANTAN TIMUR,706,3303,2019
KALIMANTAN UTARA,140,8164,2019
SULAWESI UTARA,310,7875,2019
SULAWESI TENGAH,599,23424,2019
SULAWESI SELATAN,951,7025,2019
SULAWESI TENGGARA,470,2260,2019
GORONTALO,113,2494,2019
SULAWESI BARAT,152,6405,2019
MALUKU,343,4201,2019
MALUKU UTARA,267,3975,2019
PAPUA BARAT,228,7389,2019
PAPUA,265,7389,2019
ACEH,481,36723,2020
SUMATERA UTARA,1452,13625,2020
SUMATERA BARAT,889,108948,2020
RIAU,506,6241,2020
JAMBI,235,15397,2020
SUMATERA SELATAN,478,4473,2020
BENGKULU,233,9860,2020
LAMPUNG,411,6056,2020
KEP BANGKA BELITUNG,196,23361,2020
KEPULAUAN RIAU,463,73926,2020
DKI JAKARTA,939,97604,2020
JAWA BARAT,3145,59564,2020
JAWA TENGAH,2006,36482,2020
DI YOGYAKARTA,1848,87278,2020
JAWA TIMUR,4293,18900,2020
BANTEN,534,103155,2020
BALI,4784,16489,2020
NUSA TENGGARA BARAT,1068,10078,2020
NUSA TENGGARA TIMUR,525,14567,2020
KALIMANTAN BARAT,524,9644,2020
KALIMANTAN TENGAH,518,11562,2020
KALIMANTAN SELATAN,478,16724,2020
KALIMANTAN TIMUR,670,3343,2020
KALIMANTAN UTARA,143,8490,2020
SULAWESI UTARA,339,8646,2020
SULAWESI TENGAH,668,24876,2020
SULAWESI SELATAN,1033,7515,2020
SULAWESI TENGGARA,527,2506,2020
GORONTALO,127,2801,2020
SULAWESI BARAT,172,6493,2020
MALUKU,362,4497,2020
MALUKU UTARA,278,4207,2020
PAPUA BARAT,238,7568,2020
PAPUA,260,7568,2020
ACEH,506,34638,2021
SUMATERA UTARA,1412,13250,2021
SUMATERA BARAT,842,17874,2021
RIAU,477,6608,2021
JAMBI,236,15003,2021
SUMATERA SELATAN,487,4341,2021
BENGKULU,222,9224,2021
LAMPUNG,363,5459,2021
KEP BANGKA BELITUNG,183,20467,2021
KEPULAUAN RIAU,397,64059,2021
DKI JAKARTA,893,93390,2021
JAWA BARAT,3088,58677,2021
JAWA TENGAH,2003,34386,2021
DI YOGYAKARTA,1696,78377,2021
JAWA TIMUR,3815,19139,2021
BANTEN,453,79112,2021
BALI,3345,12270,2021
NUSA TENGGARA BARAT,603,9896,2021
NUSA TENGGARA TIMUR,487,14602,2021
KALIMANTAN BARAT,508,9562,2021
KALIMANTAN TENGAH,495,11010,2021
KALIMANTAN SELATAN,440,17365,2021
KALIMANTAN TIMUR,650,3354,2021
KALIMANTAN UTARA,143,9108,2021
SULAWESI UTARA,290,8563,2021
SULAWESI TENGAH,661,24489,2021
