negara,region,benua,bulan,tahun,jumlah_kunjungan_wisman
Brunei Darussalam,ASEAN,ASIA,Januari,2023,603
Brunei Darussalam,ASEAN,ASIA,Februari,2023,831
Brunei Darussalam,ASEAN,ASIA,Maret,2023,928
Brunei Darussalam,ASEAN,ASIA,April,2023,740
Brunei Darussalam,ASEAN,ASIA,Mei,2023,894
Brunei Darussalam,ASEAN,ASIA,Juni,2023,969
Brunei Darussalam,ASEAN,ASIA,Juli,2023,1151
Brunei Darussalam,ASEAN,ASIA,Agustus,2023,1795
Brunei Darussalam,ASEAN,ASIA,September,2023,924
Brunei Darussalam,ASEAN,ASIA,Oktober,2023,902
Brunei Darussalam,ASEAN,ASIA,November,2023,1106
Brunei Darussalam,ASEAN,ASIA,Desember,2023,2675
Malaysia,ASEAN,ASIA,Januari,2023,140071
Malaysia,ASEAN,ASIA,Februari,2023,150078
Malaysia,ASEAN,ASIA,Maret,2023,152447
Malaysia,ASEAN,ASIA,April,2023,147248
Malaysia,ASEAN,ASIA,Mei,2023,169185
Malaysia,ASEAN,ASIA,Juni,2023,168759
Malaysia,ASEAN,ASIA,Juli,2023,154967
Malaysia,ASEAN,ASIA,Agustus,2023,174788
Malaysia,ASEAN,ASIA,September,2023,152210
Malaysia,ASEAN,ASIA,Oktober,2023,138597
Malaysia,ASEAN,ASIA,November,2023,141746
Malaysia,ASEAN,ASIA,Desember,2023,211146
Philippines,ASEAN,ASIA,Januari,2023,14722
Philippines,ASEAN,ASIA,Februari,2023,13402
Philippines,ASEAN,ASIA,Maret,2023,14964
Philippines,ASEAN,ASIA,April,2023,15858
Philippines,ASEAN,ASIA,Mei,2023,16911
Philippines,ASEAN,ASIA,Juni,2023,19091
Philippines,ASEAN,ASIA,Juli,2023,20868
Philippines,ASEAN,ASIA,Agustus,2023,19265
Philippines,ASEAN,ASIA,September,2023,18237
Philippines,ASEAN,ASIA,Oktober,2023,17554
Philippines,ASEAN,ASIA,November,2023,18299
Philippines,ASEAN,ASIA,Desember,2023,20287
Singapore,ASEAN,ASIA,Januari,2023,107735
Singapore,ASEAN,ASIA,Februari,2023,84358
Singapore,ASEAN,ASIA,Maret,2023,124340
Singapore,ASEAN,ASIA,April,2023,97280
Singapore,ASEAN,ASIA,Mei,2023,100729
Singapore,ASEAN,ASIA,Juni,2023,174443
Singapore,ASEAN,ASIA,Juli,2023,109847
Singapore,ASEAN,ASIA,Agustus,2023,105456
