tahun,bulan,provinsi,nama_pintu_masuk,jenis_pintu_masuk,jumlah_kunjungan_wisman
2023,Januari,BALI,Ngurah Rai,Udara,329909
2023,Januari,DKI JAKARTA,Soekarno-Hatta,Udara,115101
2023,Januari,JAWA TIMUR,Juanda,Udara,10777
2023,Januari,SUMATERA UTARA,Kualanamu,Udara,14146
2023,Januari,JAWA BARAT,Husein Sastranegara,Udara,0
2023,Januari,DI YOGYAKARTA,Adi Sucipto,Udara,3878
2023,Januari,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,2202
2023,Januari,SULAWESI UTARA,Sam Ratulangi,Udara,803
2023,Januari,SUMATERA BARAT,Minangkabau,Udara,2878
2023,Januari,RIAU,Sultan Syarif Kasim II,Udara,1624
2023,Januari,ACEH,Sultan Iskandar Muda,Udara,1440
2023,Januari,JAWA TENGAH,Ahmad Yani,Udara,1
2023,Januari,KALIMANTAN BARAT,Supadio,Udara,0
2023,Januari,SULAWESI SELATAN,Hasanuddin,Udara,1066
2023,Januari,SUMATERA SELATAN,Sultan Badaruddin II,Udara,0
2023,Januari,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,672
2023,Januari,KEP. RIAU,Batam,Laut,93781
2023,Januari,KEP. RIAU,Tanjung Uban,Laut,14957
2023,Januari,KEP. RIAU,Tanjung Pinang,Laut,4973
2023,Januari,KEP. RIAU,Tanjung Balai Karimun,Laut,5814
2023,Januari,BALI,Tanjung Benoa,Laut,1876
2023,Januari,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Januari,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,103450
2023,Januari,PAPUA,Jayapura,Darat,132
2023,Januari,NUSA TENGGARA TIMUR,Atambua,Darat,2514
2023,Januari,KALIMANTAN BARAT,Entikong,Darat,2508
2023,Januari,KALIMANTAN BARAT,Aruk,Darat,2542
2023,Januari,KALIMANTAN BARAT,Nanga Badau,Darat,718
2023,Januari,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,80707
2023,Februari,BALI,Ngurah Rai,Udara,317005
2023,Februari,DKI JAKARTA,Soekarno-Hatta,Udara,124803
2023,Februari,JAWA TIMUR,Juanda,Udara,11882
2023,Februari,SUMATERA UTARA,Kualanamu,Udara,15072
2023,Februari,JAWA BARAT,Husein Sastranegara,Udara,0
2023,Februari,DI YOGYAKARTA,Adi Sucipto,Udara,4839
2023,Februari,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,2355
2023,Februari,SULAWESI UTARA,Sam Ratulangi,Udara,1848
2023,Februari,SUMATERA BARAT,Minangkabau,Udara,3590
2023,Februari,RIAU,Sultan Syarif Kasim II,Udara,1914
2023,Februari,ACEH,Sultan Iskandar Muda,Udara,2024
2023,Februari,JAWA TENGAH,Ahmad Yani,Udara,1
2023,Februari,KALIMANTAN BARAT,Supadio,Udara,1
2023,Februari,SULAWESI SELATAN,Hasanuddin,Udara,1469
2023,Februari,SUMATERA SELATAN,Sultan Badaruddin II,Udara,1
2023,Februari,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,645
2023,Februari,KEP. RIAU,Batam,Laut,73090
2023,Februari,KEP. RIAU,Tanjung Uban,Laut,11265
2023,Februari,KEP. RIAU,Tanjung Pinang,Laut,2663
2023,Februari,KEP. RIAU,Tanjung Balai Karimun,Laut,4795
2023,Februari,BALI,Tanjung Benoa,Laut,6505
2023,Februari,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Februari,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,92745
2023,Februari,PAPUA,Jayapura,Darat,86
2023,Februari,NUSA TENGGARA TIMUR,Atambua,Darat,4212
2023,Februari,KALIMANTAN BARAT,Entikong,Darat,2725
2023,Februari,KALIMANTAN BARAT,Aruk,Darat,2503
2023,Februari,KALIMANTAN BARAT,Nanga Badau,Darat,615
2023,Februari,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,60783
2023,Maret,BALI,Ngurah Rai,Udara,366956
2023,Maret,DKI JAKARTA,Soekarno-Hatta,Udara,140859
2023,Maret,JAWA TIMUR,Juanda,Udara,10606
2023,Maret,SUMATERA UTARA,Kualanamu,Udara,16106
2023,Maret,JAWA BARAT,Husein Sastranegara,Udara,0
2023,Maret,DI YOGYAKARTA,Adi Sucipto,Udara,5007
2023,Maret,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,2099
2023,Maret,SULAWESI UTARA,Sam Ratulangi,Udara,4793
2023,Maret,SUMATERA BARAT,Minangkabau,Udara,2765
2023,Maret,RIAU,Sultan Syarif Kasim II,Udara,1697
2023,Maret,ACEH,Sultan Iskandar Muda,Udara,1901
2023,Maret,JAWA TENGAH,Ahmad Yani,Udara,1
2023,Maret,KALIMANTAN BARAT,Supadio,Udara,0
2023,Maret,SULAWESI SELATAN,Hasanuddin,Udara,921
2023,Maret,SUMATERA SELATAN,Sultan Badaruddin II,Udara,1
2023,Maret,PROVINSI LAINNYA,Pintu Udara Lainnya,Udara,953
2023,Maret,KEP. RIAU,Batam,Laut,97040
2023,Maret,KEP. RIAU,Tanjung Uban,Laut,19018
2023,Maret,KEP. RIAU,Tanjung Pinang,Laut,4043
2023,Maret,KEP. RIAU,Tanjung Balai Karimun,Laut,4835
2023,Maret,BALI,Tanjung Benoa,Laut,3738
2023,Maret,JAWA TENGAH,Tanjung Mas,Laut,0
2023,Maret,PROVINSI LAINNYA,Pintu Laut Lainnya,Laut,107507
2023,Maret,PAPUA,Jayapura,Darat,106
2023,Maret,NUSA TENGGARA TIMUR,Atambua,Darat,7016
2023,Maret,KALIMANTAN BARAT,Entikong,Darat,2905
2023,Maret,KALIMANTAN BARAT,Aruk,Darat,2169
2023,Maret,KALIMANTAN BARAT,Nanga Badau,Darat,669
2023,Maret,PROVINSI LAINNYA,Pintu Darat Lainnya,Darat,65533
2023,April,BALI,Ngurah Rai,Udara,410281
2023,April,DKI JAKARTA,Soekarno-Hatta,Udara,99289
2023,April,JAWA TIMUR,Juanda,Udara,12361
2023,April,SUMATERA UTARA,Kualanamu,Udara,15497
2023,April,JAWA BARAT,Husein Sastranegara,Udara,0
2023,April,DI YOGYAKARTA,Adi Sucipto,Udara,5592
2023,April,NUSA TENGGARA BARAT,Bandara Int Lombok,Udara,2903
2023,April,SULAWESI UTARA,Sam Ratulangi,Udara,4156
2023,April,SUMATERA BARAT,Minangkabau,Udara,4100
2023,April,RIAU,Sultan Syarif Kasim II,Udara,2453
2023,April,ACEH,Sultan Iskandar Muda,Udara,1349
2023,April,JAWA TENGAH,Ahmad Yani,Udara,0
2023,April,KALIMANTAN BARAT,Supadio,Udara,0
