provinsi,bulan,jumlah_kunjungan_wisnus,tahun
ACEH,Januari,663437,2023
SUMATERA UTARA,Januari,2962641,2023
SUMATERA BARAT,Januari,1345098,2023
RIAU,Januari,914340,2023
JAMBI,Januari,380949,2023
SUMATERA SELATAN,Januari,870450,2023
BENGKULU,Januari,211866,2023
LAMPUNG,Januari,1149078,2023
KEP. BANGKA BELITUNG,Januari,164006,2023
KEP. RIAU,Januari,176025,2023
DKI JAKARTA,Januari,6440619,2023
JAWA BARAT,Januari,15172532,2023
JAWA TENGAH,Januari,10215465,2023
DI YOGYAKARTA,Januari,2918939,2023
JAWA TIMUR,Januari,19451002,2023
BANTEN,Januari,4325638,2023
BALI,Januari,1830882,2023
NUSA TENGGARA BARAT,Januari,774963,2023
NUSA TENGGARA TIMUR,Januari,657639,2023
KALIMANTAN BARAT,Januari,419418,2023
KALIMANTAN TENGAH,Januari,304152,2023
KALIMANTAN SELATAN,Januari,630195,2023
KALIMANTAN TIMUR,Januari,641896,2023
KALIMANTAN UTARA,Januari,35205,2023
SULAWESI UTARA,Januari,421675,2023
SULAWESI TENGAH,Januari,667588,2023
SULAWESI SELATAN,Januari,2682502,2023
SULAWESI TENGGARA,Januari,1372219,2023
GORONTALO,Januari,139879,2023
SULAWESI BARAT,Januari,423949,2023
MALUKU,Januari,66046,2023
MALUKU UTARA,Januari,118409,2023
PAPUA BARAT,Januari,47444,2023
PAPUA,Januari,94530,2023
ACEH,Februari,517850,2023
SUMATERA UTARA,Februari,1870691,2023
SUMATERA BARAT,Februari,1024017,2023
RIAU,Februari,729078,2023
JAMBI,Februari,293566,2023
SUMATERA SELATAN,Februari,714967,2023
BENGKULU,Februari,151670,2023
LAMPUNG,Februari,900023,2023
KEP. BANGKA BELITUNG,Februari,124730,2023
KEP. RIAU,Februari,153373,2023
DKI JAKARTA,Februari,5764546,2023
JAWA BARAT,Februari,12225938,2023
JAWA TENGAH,Februari,8522313,2023
DI YOGYAKARTA,Februari,2402006,2023
JAWA TIMUR,Februari,17436510,2023
BANTEN,Februari,3898615,2023
BALI,Februari,1284069,2023
NUSA TENGGARA BARAT,Februari,574848,2023
NUSA TENGGARA TIMUR,Februari,367905,2023
KALIMANTAN BARAT,Februari,321107,2023
KALIMANTAN TENGAH,Februari,241954,2023
KALIMANTAN SELATAN,Februari,481876,2023
KALIMANTAN TIMUR,Februari,579530,2023
KALIMANTAN UTARA,Februari,32471,2023
SULAWESI UTARA,Februari,329629,2023
SULAWESI TENGAH,Februari,567749,2023
SULAWESI SELATAN,Februari,2225280,2023
SULAWESI TENGGARA,Februari,1299527,2023
GORONTALO,Februari,114908,2023
SULAWESI BARAT,Februari,380529,2023
MALUKU,Februari,49253,2023
MALUKU UTARA,Februari,109334,2023
PAPUA BARAT,Februari,38921,2023
PAPUA,Februari,76336,2023
ACEH,Maret,557272,2023
SUMATERA UTARA,Maret,1852752,2023
SUMATERA BARAT,Maret,1056957,2023
RIAU,Maret,759760,2023
JAMBI,Maret,302700,2023
SUMATERA SELATAN,Maret,703181,2023
BENGKULU,Maret,154106,2023
LAMPUNG,Maret,877374,2023
KEP. BANGKA BELITUNG,Maret,139812,2023
KEP. RIAU,Maret,162989,2023
DKI JAKARTA,Maret,5102411,2023
JAWA BARAT,Maret,11090133,2023
JAWA TENGAH,Maret,10463721,2023
DI YOGYAKARTA,Maret,2321441,2023
JAWA TIMUR,Maret,17708068,2023
BANTEN,Maret,3333376,2023
BALI,Maret,1278466,2023
NUSA TENGGARA BARAT,Maret,525034,2023
NUSA TENGGARA TIMUR,Maret,269024,2023
KALIMANTAN BARAT,Maret,306368,2023
KALIMANTAN TENGAH,Maret,245960,2023
KALIMANTAN SELATAN,Maret,477294,2023
KALIMANTAN TIMUR,Maret,580672,2023
KALIMANTAN UTARA,Maret,39504,2023
SULAWESI UTARA,Maret,358498,2023
SULAWESI TENGAH,Maret,695711,2023
SULAWESI SELATAN,Maret,2455952,2023
SULAWESI TENGGARA,Maret,1389727,2023
GORONTALO,Maret,132863,2023
SULAWESI BARAT,Maret,425711,2023
MALUKU,Maret,55659,2023
MALUKU UTARA,Maret,136684,2023
PAPUA BARAT,Maret,40975,2023
PAPUA,Maret,87194,2023
ACEH,April,756915,2023
SUMATERA UTARA,April,2673955,2023
SUMATERA BARAT,April,1373374,2023
RIAU,April,935938,2023
JAMBI,April,414742,2023
SUMATERA SELATAN,April,1010231,2023
BENGKULU,April,248057,2023
LAMPUNG,April,1429885,2023
KEP. BANGKA BELITUNG,April,185529,2023
KEP. RIAU,April,162775,2023
DKI JAKARTA,April,3818359,2023
JAWA BARAT,April,11964676,2023
JAWA TENGAH,April,11700414,2023
DI YOGYAKARTA,April,2291965,2023
JAWA TIMUR,April,19450106,2023
BANTEN,April,2979960,2023
BALI,April,1616487,2023
NUSA TENGGARA BARAT,April,609687,2023
NUSA TENGGARA TIMUR,April,291353,2023
KALIMANTAN BARAT,April,390690,2023
KALIMANTAN TENGAH,April,275200,2023
KALIMANTAN SELATAN,April,578791,2023
KALIMANTAN TIMUR,April,580561,2023
KALIMANTAN UTARA,April,37128,2023
SULAWESI UTARA,April,468296,2023
SULAWESI TENGAH,April,702310,2023
SULAWESI SELATAN,April,2503880,2023
SULAWESI TENGGARA,April,1281173,2023
GORONTALO,April,164216,2023
SULAWESI BARAT,April,399963,2023
MALUKU,April,62401,2023
MALUKU UTARA,April,142086,2023
PAPUA BARAT,April,39759,2023
PAPUA,April,87917,2023
ACEH,Mei,791968,2023
SUMATERA UTARA,Mei,2556839,2023
SUMATERA BARAT,Mei,1538507,2023
RIAU,Mei,977332,2023
JAMBI,Mei,421741,2023
SUMATERA SELATAN,Mei,1021583,2023
BENGKULU,Mei,241660,2023
LAMPUNG,Mei,1376686,2023
KEP. BANGKA BELITUNG,Mei,209111,2023
KEP. RIAU,Mei,200190,2023
DKI JAKARTA,Mei,4205052,2023
JAWA BARAT,Mei,12614837,2023
JAWA TENGAH,Mei,11879262,2023
DI YOGYAKARTA,Mei,3122919,2023
JAWA TIMUR,Mei,22309466,2023
BANTEN,Mei,3255453,2023
BALI,Mei,1619283,2023
NUSA TENGGARA BARAT,Mei,1025070,2023
NUSA TENGGARA TIMUR,Mei,344325,2023
KALIMANTAN BARAT,Mei,404409,2023
KALIMANTAN TENGAH,Mei,299372,2023
