id,provinsi,jenis,nama_pariwisata,latitude,longitude,lebar,tinggi,kemiringan
1,ACEH,DPN,Bromo Malang dan sekitarnya,-7.716435112,112.6428223,80000,90000,0
25,BALI,DPN,DPN IJEN-ALASPURWO dan sekitarnya,-8.157118149,113.8952637,60000,70000,100
48,BANTEN,DPN,DPN MERAUKE-WAZUR dan sekitarnya,-7.863381805,139.152832,120000,200000,0
16,BENGKULU,DPN,DPN NATUNA-ANAMBAS dan sekitarnya,3.370856477,107.1057129,180000,49000,65
17,DKI JAKARTA,DPN,DPN BENGKULU-ENGGANO dan sekitarnya,-4.017699464,102.3925781,190000,110000,170
39,GORONTALO,DPN,DPN TORAJA-LORELINDU dan sekitarnya,-2.317483069,119.8059082,120000,180000,110
13,JAMBI,DPN,DPN PEKANBARU-RUPAT dan sekitarnya,1.153486527,101.5905762,180000,100000,140
18,JAWA BARAT,DPN,DPN JAKARTA-KEP SERIBU dan sekitarnya,-6.009459238,106.809082,40000,60000,95
19,JAWA BARAT,DPN,DPN BOGOR-HALIMUN dan sekitarnya,-6.817352823,106.6772461,45000,80000,110
20,JAWA BARAT,DPN,DPN BANDUNG-CIWIDEY dan sekitarnya,-7.024571918,107.5671387,40000,68000,130
21,JAWA TENGAH,DPN,DPN PANGANDARAN-NUSAKAMBANGAN dan sekitarnya,-7.569437336,108.7316895,40000,69000,0
22,JAWA TENGAH,DPN,DPN SEMARANG-KARIMUNJAWA dan sekitarnya,-6.653695352,110.3356934,100000,50000,190
23,JAWA TENGAH,DPN,DPN SOLO-SANGIRAN dan sekitarnya,-7.754537347,111.0717773,60000,40000,150
24,JAWA TIMUR,DPN,DPN BOROBUDUR-YOGYAKARTA dan sekitarnya,-7.700104531,110.2368164,90000,60000,130
49,JAWA TIMUR,DPN,DPN KRAKATAU-UJUNGKULON dan sekitarnya,-5.342582852,105.1940918,210000,110000,140
30,KALIMANTAN BARAT,DPN,DPN KUPANG-ROTENDAO dan sekitarnya,-10.13111684,123.7390137,150000,60000,230
31,KALIMANTAN BARAT,DPN,DPN PONTIANAK-SINGKAWANG dan sekitarnya,0.878871783,109.3029785,125000,73000,190
36,KALIMANTAN SELATAN,DPN,DPN DERAWAN-KAYAN MENTARANG dan sekitarnya,2.65773779,117.2131348,150000,230000,30
32,KALIMANTAN TENGAH,DPN,DPN SENTARUM-BETUNG KERIHUN dan sekitarnya,0.329588026,112.3132324,170000,140000,90
