"tahun","provinsi","persentase_tpk_hotel_bintang","persentase_tpk_hotel_nonbintang"
2017,ACEH,50.34,29.18
2017,SUMATERA UTARA,45.64,36.47
2017,SUMATERA BARAT,54.99,32.86
2017,RIAU,48.14,39.07
2017,JAMBI,46.93,30.19
2017,SUMATERA SELATAN,57.42,36.03
2017,BENGKULU,60.48,24.27
2017,LAMPUNG,55.43,44.07
2017,KEP. BANGKA BELITUNG,41.63,27.25
2017,KEP. RIAU,52.67,42.75
2017,DKI JAKARTA,63.26,68.22
2017,JAWA BARAT,55.88,36.14
2017,JAWA TENGAH,48.87,31.12
2017,DI YOGYAKARTA,59.6,31.65
2017,JAWA TIMUR,58.71,33.11
2017,BANTEN,52.61,30.07
2017,BALI,62.89,35.97
2017,NUSA TENGGARA BARAT,49.16,26.79
2017,NUSA TENGGARA TIMUR,54.32,21.9
2017,KALIMANTAN BARAT,46.24,31.1
2017,KALIMANTAN TENGAH,56.96,29.41
2017,KALIMANTAN SELATAN,49.48,29.77
2017,KALIMANTAN TIMUR,51.79,25.08
2017,KALIMANTAN UTARA,34.56,31.16
2017,SULAWESI UTARA,63.74,38.04
2017,SULAWESI TENGAH,60.37,22.75
2017,SULAWESI SELATAN,47.69,26.99
2017,SULAWESI TENGGARA,40.76,25.83
2017,GORONTALO,46.8,28.69
2017,SULAWESI BARAT,38.42,23.36
2017,MALUKU,40.34,22.86
2017,MALUKU UTARA,51.0,27.21
2017,PAPUA BARAT,55.62,33.94
2017,PAPUA,55.89,39.0
2018,ACEH,45.03,28.26
2018,SUMATERA UTARA,43.59,35.3
2018,SUMATERA BARAT,56.38,32.18
2018,RIAU,47.29,36.7
2018,JAMBI,44.61,33.34
2018,SUMATERA SELATAN,59.3,37.76
2018,BENGKULU,66.26,20.11
2018,LAMPUNG,58.46,32.86
2018,KEP. BANGKA BELITUNG,39.93,24.39
2018,KEP. RIAU,53.75,40.52
2018,DKI JAKARTA,66.87,74.27
2018,JAWA BARAT,58.17,29.05
2018,JAWA TENGAH,45.82,30.72
2018,DI YOGYAKARTA,57.44,28.25
2018,JAWA TIMUR,56.1,29.98
2018,BANTEN,53.52,25.44
2018,BALI,65.13,34.67
2018,NUSA TENGGARA BARAT,43.7,27.53
2018,NUSA TENGGARA TIMUR,57.41,24.13
2018,KALIMANTAN BARAT,52.86,38.22
2018,KALIMANTAN TENGAH,58.98,25.2
2018,KALIMANTAN SELATAN,56.69,33.54
2018,KALIMANTAN TIMUR,51.46,35.81
2018,KALIMANTAN UTARA,41.88,31.08
2018,SULAWESI UTARA,66.81,37.92
2018,SULAWESI TENGAH,44.65,20.8
2018,SULAWESI SELATAN,50.95,28.41
2018,SULAWESI TENGGARA,47.34,23.02
2018,GORONTALO,48.69,20.92
2018,SULAWESI BARAT,46.89,23.38
2018,MALUKU,38.56,23.03
2018,MALUKU UTARA,45.44,27.67
2018,PAPUA BARAT,53.62,37.73
2018,PAPUA,51.22,38.97
2019,ACEH,42.98,28.48
2019,SUMATERA UTARA,47.77,36.54
2019,SUMATERA BARAT,54.33,24.75
2019,RIAU,46.63,30.71
2019,JAMBI,43.97,23.13
2019,SUMATERA SELATAN,53.01,32.51
2019,BENGKULU,62.32,29.04
2019,LAMPUNG,58.94,34.87
